Station_start,Station_end,distance
Cote-Vertu,Du College,2
Du College,De La Savane,2
De La Savane,Namur,2
Namur,Plamondon,2
Plamondon,Cote-Sainte-Catherine,2
Cote-Sainte-Catherine,Snowdon,2
Snowdon,Villa-Maria,2
Villa-Maria,Vendome,2
Vendome,Place-Saint-Henri,2
Place-Saint-Henri,Lionel-Groulx,2
Lionel-Groulx,Georges-Vanier,2
Georges-Vanier,Lucien-L'Allier,2
Lucien-L'Allier,Bonaventure,2
Bonaventure,Square-Victoria-OACI,2
Square-Victoria-OACI,Place-D'Armes,2
Place-D'Armes,Champ-de-Mars,2
Champ-de-Mars,Berri-UQAM,2
Berri-UQAM,Sherbrooke,2
Sherbrooke,Mont-Royal,2
Mont-Royal,Laurier,2
Laurier,Rosemont,2
Rosemont,Beaubien,2
Beaubien,Jean-Talon,2
Jean-Talon,Jarry,2
Jarry,Cremazie,2
Cremazie,Sauve,2
Sauve,Henri-Bourassa,2
Henri-Bourassa,Cartier,2
Cartier,De La Concorde,2
De La Concorde,Montmorency,2
Angrignon,Monk,2
Monk,Jolicoeur,2
Jolicoeur,Verdun,2
Verdun,De L'Eglise,2
De L'Eglise,Lasalle,2
Lasalle,Charlevoix,2
Charlevoix,Lionel-Groulx,2
Lionel-Groulx,Atwater,2
Atwater,Guy-Concordia,2
Guy-Concordia,Peel,2
Peel,McGill,2
McGill,Place-Des-Arts,2
Place-Des-Arts,Saint-Laurent,2
Saint-Laurent,Berri-UQAM,2
Berri-UQAM,Beaudry,2
Beaudry,Papineau,2
Papineau,Frontenac,2
Frontenac,Prefontaine,2
Prefontaine,Joliette,2
Joliette,Pie-IX,2
Pie-IX,Viau,2
Viau,Assomption,2
Assomption,Cadillac,2
Cadillac,Langelier,2
Langelier,Radisson,2
Radisson,Honore-Beaugrand,2
Snowdon,Cote-Des-Neiges,2
Cote-Des-Neiges,Universite-De-Montreal,2
Universite-De-Montreal,Edourard-Montpetit,2
Edourard-Montpetit,Outremont,2
Outremont,Acadie,2
Acadie,Parc,2
Parc,De Castelnau,2
De Castelnau,Jean-Talon,2
Jean-Talon,Fabre,2
Fabre,D'Iberville,2
D'Iberville,Saint-Michel,2
Berri-UQAM,Jean-Drapeau,2
Jean-Drapeau,Longueuil-Universite-De-Sherbrooke,2