Stations,Colours
Cote-Vertu,orange
Du College,orange
De La Savane,orange
Namur,orange
Plamondon,orange
Cote-Sainte-Catherine,orange
Snowdon,orange/bleue
Villa-Maria,orange
Vendome,orange
Place-Saint-Henri,orange
Lionel-Groulx,verte/orange
Georges-Vanier,orange
Lucien-L'Allier,orange
Bonaventure,orange
Square-Victoria-OACI,orange
Place-D'Armes,orange
Champ-de-Mars,orange
Berri-UQAM,verte/orange/jaune
Sherbrooke,orange
Mont-Royal,orange
Laurier,orange
Rosemont,orange
Beaubien,orange
Jean-Talon,orange/bleue
Jarry,orange
Cremazie,orange
Sauve,orange
Henri-Bourassa,orange
Cartier,orange
De La Concorde,orange
Montmorency,orange
Angrignon,verte
Monk,verte
Jolicoeur,verte
Verdun,verte
De L'Eglise,verte
Lasalle,verte
Charlevoix,verte
Atwater,verte
Guy-Concordia,verte
Peel,verte
McGill,verte
Place-Des-Arts,verte
Saint-Laurent,verte
Beaudry,verte
Papineau,verte
Frontenac,verte
Prefontaine,verte
Joliette,verte
Pie-IX,verte
Viau,verte
Assomption,verte
Cadillac,verte
Langelier,verte
Radisson,verte
Honore-Beaugrand,verte
Cote-Des-Neiges,bleue
Universite-De-Montreal,bleue
Edourard-Montpetit,bleue
Outremont,bleue
Acadie,bleue
Parc,bleue
De Castelnau,bleue
Fabre,bleue
D'Iberville,bleue
Saint-Michel,bleue
Jean-Drapeau,jaune
Longueuil-Universite-De-Sherbrooke,jaune